table_name,column_name,foreign_table_name,foreign_column_name
support_messages,ticket_id,support_tickets,id
support_events,tenant_id,tenants,id
support_events,ticket_id,support_tickets,id
support_sla,ticket_id,support_tickets,id
leads,stage_id,lead_stages,id
fin_fornecedores,tenant_id,tenants,id
fin_centros_custo,tenant_id,tenants,id
fin_centros_custo,responsavel_id,users,id
fin_centros_custo,created_by,users,id
fin_alocacoes,tenant_id,tenants,id
fin_alocacoes,centro_custo_id,fin_centros_custo,id
fin_alocacoes,receita_id,fin_receitas,id
fin_alocacoes,despesa_id,fin_despesas,id
fin_alocacoes,created_by,users,id
fin_regras_comissao,tenant_id,tenants,id
fin_regras_comissao,fornecedor_id,fin_fornecedores,id
fin_comissoes_recebidas,tenant_id,tenants,id
fin_comissoes_recebidas,fornecedor_id,fin_fornecedores,id
fin_comissoes_split,comissao_id,fin_comissoes_recebidas,id
fin_comissoes_split,usuario_id,users,id
fin_repasses_automacao,split_id,fin_comissoes_split,id
fin_condicoes_pagamento,tenant_id,tenants,id
fin_duplicatas_receber,tenant_id,tenants,id
fin_duplicatas_receber,cliente_id,clientes,id
fin_duplicatas_receber,fornecedor_intermediario_id,fin_fornecedores,id
fin_duplicatas_receber,condicao_pagamento_id,fin_condicoes_pagamento,id
fin_duplicatas_receber,created_by,users,id
fin_duplicatas_receber,updated_by,users,id
fin_duplicatas_pagar,tenant_id,tenants,id
fin_duplicatas_pagar,fornecedor_id,fin_fornecedores,id
fin_duplicatas_pagar,condicao_pagamento_id,fin_condicoes_pagamento,id
fin_duplicatas_pagar,conta_bancaria_id,fin_contas_bancarias,id
fin_duplicatas_pagar,created_by,users,id
fin_duplicatas_pagar,updated_by,users,id
fin_parcelas,tenant_id,tenants,id
fin_parcelas,duplicata_receber_id,fin_duplicatas_receber,id
fin_parcelas,duplicata_pagar_id,fin_duplicatas_pagar,id
fin_adiantamentos,tenant_id,tenants,id
fin_adiantamentos,fornecedor_id,fin_fornecedores,id
fin_adiantamentos,conta_bancaria_id,fin_contas_bancarias,id
